ticket_id,category,ips_found,assets_found,users_found,sites_found,protos_found,malwares_found,n_indicators,gt_entities
TKT00262,network_fault,,AST-0099,,,HTTPS,,2,asset=AST-0099|proto=HTTPS
TKT00097,network_fault,,AST-0050,,PORT-WVB,HTTPS,,3,asset=AST-0050|proto=HTTPS|site=PORT-WVB
TKT00233,security_incident,,,cont081,,,,1,target=maintenance portal|user=cont081
TKT00130,instrumentation,,AST-0058,,,Modbus,,2,asset=AST-0058
TKT00210,network_fault,,AST-0076,,,RDP,,2,asset=AST-0076|proto=RDP
TKT00192,instrumentation,,,,PIT-A,,,1,site=PIT-A
TKT00139,instrumentation,,AST-0161,,,,,1,asset=AST-0161
TKT00243,network_fault,,AST-0021,,PIT-B,,,2,asset=AST-0021|site=PIT-B
TKT00253,security_incident,182.30.242.22,AST-0180,cont003,,,,3,asset=AST-0180|ip=182.30.242.22|target=SCADA HMI|user=cont003
TKT00042,network_fault,14.155.135.171,,,TAILINGS-01,,,2,ip=14.155.135.171|site=TAILINGS-01
TKT00070,security_incident,183.118.231.202,AST-0179,,HQ-WHK,MQTT,,4,asset=AST-0179|ip=183.118.231.202|proto=MQTT|site=HQ-WHK
TKT00240,network_fault,,AST-0161,,PIT-A,,,2,asset=AST-0161|site=PIT-A
TKT00293,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00101,access_request,,AST-0042,,,SNMP,,2,asset=AST-0042|proto=SNMP
TKT00032,mechanical,,AST-0091,,PLANT-01,,,2,asset=AST-0091|site=PLANT-01
TKT00123,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00055,security_incident,,,cont013,,,,1,target=historian|user=cont013
TKT00131,access_request,,,main048,CAMP-01,,,2,site=CAMP-01|target=fleet management portal|user=main048
TKT00037,access_request,,AST-0089,,,RDP,,2,asset=AST-0089|proto=RDP
TKT00040,instrumentation,,AST-0043,,,,,1,asset=AST-0043
TKT00292,instrumentation,,AST-0140,,,,,1,asset=AST-0140
TKT00165,network_fault,,AST-0158,,PLANT-01,DNP3,,3,asset=AST-0158|proto=DNP3|site=PLANT-01
